No_followers,engagment_rate_avg,Selected,IG_id,Category_name,Locations,Cluster,Selected (1)
continuous,discrete,discrete,string,string,string,discrete,discrete
8800.0,Riyadh,Yes,@destinationryd,"""'lifestyl'","lifestyle""",C1,No
582000.0,5.12,Yes,@walkwithrich,jakarta,Ubud,C2,No
4000.0,5.12,Yes,@mydailycloset7,fashion,Sharjah,C1,No
8000.0,4.43,Yes,@salemphoto,photograph,Riyadh,C1,No
5500.0,4.43,Yes,@movenpickhotelriyadh,instagram,Riyadh,C1,No
7300.0,"fashion""",Yes,@aisha_ru,"""'wed'",makeup,C1,No
4200.0,London,Yes,@ajlangharem,"""'math'","lifestyle""",C1,No
5500.0,4.43,Yes,@hallo_7,lifestyle,Portland,C1,No
1700.0,5.12,Yes,@jackiejackamanphotography,photograph,Sallanches,C1,No
3500.0,5.12,Yes,@elrashaka_elsaaeida,fit,Riyadh,C1,No
1700.0,Dubai,Yes,@intraform.design,"""'design'","interior""",C1,No
8500.0,Riyadh,Yes,@lisarosa_co,"""'wed'","concert""",C1,No
2100.0,5.12,Yes,@rayabdulrhman,seattl,Seattle,C1,No
8500.0,"comedi""",Yes,@upsidedownpro,"""'film'",photograph,C1,No
5500.0,Riyadh,Yes,@saraalhudaithy_,"""'design'","interior""",C1,No
5400.0,4.43,Yes,@shahadalsalman,photograph,Riyadh,C1,No
2600.0,5.12,Yes,@s2dc,lifestyle,Riyadh,C1,No
4500.0,5.12,Yes,@16.6.13,lifestyle,Riyadh,C1,No
2100.0,5.12,Yes,@dalalshaikh,design,Hoboken,C1,No
2800.0,Jeddah,Yes,@stillnadia,"""'shop'","shoe""",C1,No
4800.0,5.12,Yes,@faisalalshammarii,lifestyle,Riyadh,C1,No
2100.0,Dubai,Yes,@abdulmajeed650,"""'travel'","photograph""",C1,No
5100.0,Riyadh,Yes,@moanali1,"""'natur'","beauti""",C1,No
2400.0,5.12,Yes,@mjodi0,lifestyle,Riyadh,C1,No
2600.0,5.12,Yes,@neessr,mom,Riyadh,C1,No
4600.0,5.12,Yes,@lojainse,happi,Riyadh,C1,No
3000.0,beauti,Yes,@beauty_cuty5,"""'lifestyl'",blogger,C1,No
3800.0,5.12,Yes,@kashagee,trainer,Riyadh,C1,No
1500.0,5.12,Yes,@watcharabia,watch,Basel,C1,No
3100.0,5.12,Yes,@ghadh_design,design,London,C1,No
3800.0,Riyadh,Yes,@photoalsaja,"""'photographi'","market""",C1,No
6800.0,4.43,Yes,@neefusa,militari,Riyadh,C1,No
8900.0,4.43,Yes,@rere195,lifestyle,Riyadh,C1,No
3300.0,5.12,Yes,@d7vi,lifestyle,Riyadh,C1,No
3000.0,5.12,Yes,@_saadalqahtani,C,Riyadh,C1,No
9500.0,4.43,Yes,@catrionabrianross,mom,Kuala Lumpur,C1,No
2600.0,5.12,Yes,@rashedalnassar,music,Riyadh,C1,No
3900.0,Riyadh,Yes,@mohovic_q,"""'model'","busi""",C1,No
4500.0,5.12,Yes,@emaansa,translat,Riyadh,C1,No
1200.0,Riyadh,Yes,@sl6ant,"""'photograph'","lifestyle""",C1,No
7300.0,4.43,Yes,@xinonix,busi,Riyadh,C1,No
2000.0,5.12,Yes,@malekkabbara,lifestyle,Riyadh,C1,No
9900.0,4.43,Yes,@awn.121,mother,Sharjah,C1,No
609000.0,5.12,Yes,@_samibrahim,photograph,Riyadh,C2,No
4500.0,5.12,Yes,@__xraz,lifestyle,Riyadh,C1,No
2300.0,5.12,Yes,@m___v8,lifestyle,Ar Rayyān,C1,No
2500.0,5.12,Yes,@ibattlegam3r,vlogger,Dubai,C1,No
934000.0,5.12,Yes,@fashion_hassan,design,Riyadh,C2,No
885000.0,5.12,Yes,@_mj_official_,fashion,Riyadh,C2,No
3600.0,Riyadh,Yes,@dembeauty,"""'food'","beauti""",C1,No
